date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:49:30	131730/131730	---M-Z	200	added ('OK')	text/html	etag:%2220292-5cfb2a01098eb-gzip%22	http://themetechmount.com/html/delmont/index.html	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/index.html	(from )
17:49:32	118/118	---M-Z	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2012:19:30%20GMT	http://themetechmount.com/robots.txt		(from )
17:49:32	2251/2251	---M--	200	added ('OK')	image/png	etag:%228cb-5cf8ce2cd7656%22	http://themetechmount.com/html/delmont/images/favicon.png	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/images/favicon.png	(from http://themetechmount.com/html/delmont/index.html)
17:49:33	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-5cf8ce3278d24-gzip%22	http://themetechmount.com/html/delmont/css/bootstrap.min.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/css/bootstrap.min.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:33	55928/55928	---M-Z	200	added ('OK')	text/css	etag:%22da78-5cf8ce318b838-gzip%22	http://themetechmount.com/html/delmont/css/animate.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/css/animate.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:34	8296/8296	---M-Z	200	added ('OK')	text/css	etag:%222068-5cf8ce32bf228-gzip%22	http://themetechmount.com/html/delmont/css/owl.carousel.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/css/owl.carousel.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:34	30591/30591	---M-Z	200	added ('OK')	text/css	etag:%22777f-5cf8ce32ae887-gzip%22	http://themetechmount.com/html/delmont/css/font-awesome.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/css/font-awesome.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:35	13862/13862	---M-Z	200	added ('OK')	text/css	etag:%223626-5cf8ce3376bb2-gzip%22	http://themetechmount.com/html/delmont/css/themify-icons.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/css/themify-icons.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:35	3432/3432	---M-Z	200	added ('OK')	text/css	etag:%22d68-5cf8ce32385e1-gzip%22	http://themetechmount.com/html/delmont/css/flaticon.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/css/flaticon.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:36	141765/141765	---M-Z	200	added ('OK')	text/css	etag:%22229c5-5b35c88616280-gzip%22	http://themetechmount.com/html/delmont/revolution/css/layers.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/revolution/css/layers.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:36	32601/32601	---M-Z	200	added ('OK')	text/css	etag:%227f59-5b35c88616280-gzip%22	http://themetechmount.com/html/delmont/revolution/css/settings.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/revolution/css/settings.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:37	19714/19714	---M-Z	200	added ('OK')	text/css	etag:%224d02-5cf8ce336b031-gzip%22	http://themetechmount.com/html/delmont/css/prettyPhoto.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/css/prettyPhoto.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:37	5493/5493	---M-Z	200	added ('OK')	text/css	etag:%221575-5cf8ce33aa7d5-gzip%22	http://themetechmount.com/html/delmont/css/twentytwenty.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/css/twentytwenty.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:38	73814/73814	---M-Z	200	added ('OK')	text/css	etag:%2212056-5cf8ce33c5d56-gzip%22	http://themetechmount.com/html/delmont/css/shortcodes.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/css/shortcodes.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:38	68024/68024	---M-Z	200	added ('OK')	text/css	etag:%22109b8-5cf8ce32dc6ea-gzip%22	http://themetechmount.com/html/delmont/css/main.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/css/main.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:39	30012/30012	---M-Z	200	added ('OK')	text/css	etag:%22753c-5cf8ce33577b0-gzip%22	http://themetechmount.com/html/delmont/css/responsive.css	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/css/responsive.css	(from http://themetechmount.com/html/delmont/index.html)
17:49:39	3194/3194	---M--	200	added ('OK')	image/png	etag:%22c7a-5cf8ce2d4b9bd%22	http://themetechmount.com/html/delmont/images/logo-img.png	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/images/logo-img.png	(from http://themetechmount.com/html/delmont/index.html)
17:49:40	116529/116529	---M-Z	200	added ('OK')	text/html	etag:%221c731-5b35c7140f980-gzip%22	http://themetechmount.com/html/delmont/home-2.html	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/home-2.html	(from http://themetechmount.com/html/delmont/index.html)
17:49:40	111191/111191	---M-Z	200	added ('OK')	text/html	etag:%221b257-5b35c715f7e00-gzip%22	http://themetechmount.com/html/delmont/home-3.html	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/home-3.html	(from http://themetechmount.com/html/delmont/index.html)
17:49:42	129568/129568	---M-Z	200	added ('OK')	text/html	etag:%221fa20-5b35c715f7e00-gzip%22	http://themetechmount.com/html/delmont/home-4.html	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/home-4.html	(from http://themetechmount.com/html/delmont/index.html)
17:49:42	106803/106803	---M-Z	200	added ('OK')	text/html	etag:%221a133-5b35c717e0280-gzip%22	http://themetechmount.com/html/delmont/home-5.html	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/home-5.html	(from http://themetechmount.com/html/delmont/index.html)
17:49:42	72352/72352	---M-Z	200	added ('OK')	text/html	etag:%2211aa0-5b3ad4d1ccb00-gzip%22	http://themetechmount.com/html/delmont/home-6.html	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/home-6.html	(from http://themetechmount.com/html/delmont/index.html)
17:49:43	113682/113682	---M-Z	200	added ('OK')	text/html	etag:%221bc12-5b35c7140f980-gzip%22	http://themetechmount.com/html/delmont/header-overlay.html	C:/Users/dell/Desktop/barath/medic2/themetechmount.com/html/delmont/header-overlay.html	(from http://themetechmount.com/html/delmont/index.html)
